key_id,threshold_tau,recall,scan_time_ms,total_files
0,0.4984,1.0000,52.29,10305
1,0.4984,1.0000,51.68,10305
2,0.4984,1.0000,64.79,10305
3,0.4984,1.0000,58.33,10305
4,0.4984,1.0000,56.01,10305
5,0.4984,1.0000,53.51,10305
6,0.4984,1.0000,53.84,10305
7,0.4984,1.0000,50.39,10305
8,0.4984,1.0000,57.60,10305
9,0.4984,1.0000,55.67,10305
10,0.4984,1.0000,51.80,10305
11,0.4984,1.0000,51.18,10305
12,0.4984,1.0000,49.70,10305
13,0.4984,1.0000,53.80,10305
14,0.4984,1.0000,48.92,10305
15,0.4984,1.0000,76.29,10305
16,0.4984,1.0000,64.28,10305
17,0.4984,1.0000,45.04,10305
18,0.4984,1.0000,63.20,10305
19,0.4984,1.0000,47.34,10305
20,0.4984,1.0000,47.84,10305
21,0.4984,1.0000,48.39,10305
22,0.4984,1.0000,57.63,10305
23,0.4984,1.0000,183.92,10305
24,0.4984,1.0000,110.63,10305
25,0.4984,1.0000,51.35,10305
26,0.4984,1.0000,50.07,10305
27,0.4984,1.0000,47.44,10305
28,0.4984,1.0000,46.53,10305
29,0.4984,1.0000,46.67,10305
30,0.4984,1.0000,51.11,10305
31,0.4984,1.0000,50.51,10305
32,0.4984,1.0000,48.85,10305
33,0.4984,1.0000,50.53,10305
34,0.4984,1.0000,53.65,10305
35,0.4984,1.0000,49.67,10305
36,0.4984,1.0000,46.33,10305
37,0.4984,1.0000,47.48,10305
38,0.4984,1.0000,50.31,10305
39,0.4984,1.0000,50.22,10305
40,0.4984,1.0000,50.14,10305
41,0.4984,1.0000,48.97,10305
42,0.4984,1.0000,48.79,10305
43,0.4984,1.0000,54.58,10305
44,0.4984,1.0000,58.74,10305
45,0.4984,1.0000,47.24,10305
46,0.4984,1.0000,49.71,10305
47,0.4984,1.0000,45.69,10305
48,0.4984,1.0000,47.27,10305
49,0.4984,1.0000,54.20,10305
