method,threshold,tpr,fpr,tp,fp,tn,fn
l_infinity,0.0,1.0,1.0,50,50,0,0
l_infinity,0.02040816326530612,1.0,1.0,50,50,0,0
l_infinity,0.04081632653061224,1.0,1.0,50,50,0,0
l_infinity,0.061224489795918366,1.0,1.0,50,50,0,0
l_infinity,0.08163265306122448,1.0,0.14,50,7,43,0
l_infinity,0.1020408163265306,1.0,0.0,50,0,50,0
l_infinity,0.12244897959183673,1.0,0.0,50,0,50,0
l_infinity,0.14285714285714285,1.0,0.0,50,0,50,0
l_infinity,0.16326530612244897,1.0,0.0,50,0,50,0
l_infinity,0.18367346938775508,1.0,0.0,50,0,50,0
l_infinity,0.2040816326530612,1.0,0.0,50,0,50,0
l_infinity,0.22448979591836732,1.0,0.0,50,0,50,0
l_infinity,0.24489795918367346,1.0,0.0,50,0,50,0
l_infinity,0.26530612244897955,1.0,0.0,50,0,50,0
l_infinity,0.2857142857142857,1.0,0.0,50,0,50,0
l_infinity,0.3061224489795918,1.0,0.0,50,0,50,0
l_infinity,0.32653061224489793,1.0,0.0,50,0,50,0
l_infinity,0.3469387755102041,1.0,0.0,50,0,50,0
l_infinity,0.36734693877551017,1.0,0.0,50,0,50,0
l_infinity,0.3877551020408163,0.98,0.0,49,0,50,1
l_infinity,0.4081632653061224,0.98,0.0,49,0,50,1
l_infinity,0.42857142857142855,0.94,0.0,47,0,50,3
l_infinity,0.44897959183673464,0.94,0.0,47,0,50,3
l_infinity,0.4693877551020408,0.94,0.0,47,0,50,3
l_infinity,0.4897959183673469,0.9,0.0,45,0,50,5
l_infinity,0.5102040816326531,0.88,0.0,44,0,50,6
l_infinity,0.5306122448979591,0.86,0.0,43,0,50,7
l_infinity,0.5510204081632653,0.84,0.0,42,0,50,8
l_infinity,0.5714285714285714,0.82,0.0,41,0,50,9
l_infinity,0.5918367346938775,0.76,0.0,38,0,50,12
l_infinity,0.6122448979591836,0.72,0.0,36,0,50,14
l_infinity,0.6326530612244897,0.68,0.0,34,0,50,16
l_infinity,0.6530612244897959,0.66,0.0,33,0,50,17
l_infinity,0.673469387755102,0.64,0.0,32,0,50,18
l_infinity,0.6938775510204082,0.5,0.0,25,0,50,25
l_infinity,0.7142857142857142,0.42,0.0,21,0,50,29
l_infinity,0.7346938775510203,0.42,0.0,21,0,50,29
l_infinity,0.7551020408163265,0.4,0.0,20,0,50,30
l_infinity,0.7755102040816326,0.32,0.0,16,0,50,34
l_infinity,0.7959183673469387,0.26,0.0,13,0,50,37
l_infinity,0.8163265306122448,0.24,0.0,12,0,50,38
l_infinity,0.836734693877551,0.16,0.0,8,0,50,42
l_infinity,0.8571428571428571,0.12,0.0,6,0,50,44
l_infinity,0.8775510204081632,0.08,0.0,4,0,50,46
l_infinity,0.8979591836734693,0.06,0.0,3,0,50,47
l_infinity,0.9183673469387754,0.04,0.0,2,0,50,48
l_infinity,0.9387755102040816,0.0,0.0,0,0,50,50
l_infinity,0.9591836734693877,0.0,0.0,0,0,50,50
l_infinity,0.9795918367346939,0.0,0.0,0,0,50,50
l_infinity,1.0,0.0,0.0,0,0,50,50
mse,0.0,1.0,1.0,50,50,0,0
mse,0.02040816326530612,0.0,0.0,0,0,50,50
mse,0.04081632653061224,0.0,0.0,0,0,50,50
mse,0.061224489795918366,0.0,0.0,0,0,50,50
mse,0.08163265306122448,0.0,0.0,0,0,50,50
mse,0.1020408163265306,0.0,0.0,0,0,50,50
mse,0.12244897959183673,0.0,0.0,0,0,50,50
mse,0.14285714285714285,0.0,0.0,0,0,50,50
mse,0.16326530612244897,0.0,0.0,0,0,50,50
mse,0.18367346938775508,0.0,0.0,0,0,50,50
mse,0.2040816326530612,0.0,0.0,0,0,50,50
mse,0.22448979591836732,0.0,0.0,0,0,50,50
mse,0.24489795918367346,0.0,0.0,0,0,50,50
mse,0.26530612244897955,0.0,0.0,0,0,50,50
mse,0.2857142857142857,0.0,0.0,0,0,50,50
mse,0.3061224489795918,0.0,0.0,0,0,50,50
mse,0.32653061224489793,0.0,0.0,0,0,50,50
mse,0.3469387755102041,0.0,0.0,0,0,50,50
mse,0.36734693877551017,0.0,0.0,0,0,50,50
mse,0.3877551020408163,0.0,0.0,0,0,50,50
mse,0.4081632653061224,0.0,0.0,0,0,50,50
mse,0.42857142857142855,0.0,0.0,0,0,50,50
mse,0.44897959183673464,0.0,0.0,0,0,50,50
mse,0.4693877551020408,0.0,0.0,0,0,50,50
mse,0.4897959183673469,0.0,0.0,0,0,50,50
mse,0.5102040816326531,0.0,0.0,0,0,50,50
mse,0.5306122448979591,0.0,0.0,0,0,50,50
mse,0.5510204081632653,0.0,0.0,0,0,50,50
mse,0.5714285714285714,0.0,0.0,0,0,50,50
mse,0.5918367346938775,0.0,0.0,0,0,50,50
mse,0.6122448979591836,0.0,0.0,0,0,50,50
mse,0.6326530612244897,0.0,0.0,0,0,50,50
mse,0.6530612244897959,0.0,0.0,0,0,50,50
mse,0.673469387755102,0.0,0.0,0,0,50,50
mse,0.6938775510204082,0.0,0.0,0,0,50,50
mse,0.7142857142857142,0.0,0.0,0,0,50,50
mse,0.7346938775510203,0.0,0.0,0,0,50,50
mse,0.7551020408163265,0.0,0.0,0,0,50,50
mse,0.7755102040816326,0.0,0.0,0,0,50,50
mse,0.7959183673469387,0.0,0.0,0,0,50,50
mse,0.8163265306122448,0.0,0.0,0,0,50,50
mse,0.836734693877551,0.0,0.0,0,0,50,50
mse,0.8571428571428571,0.0,0.0,0,0,50,50
mse,0.8775510204081632,0.0,0.0,0,0,50,50
mse,0.8979591836734693,0.0,0.0,0,0,50,50
mse,0.9183673469387754,0.0,0.0,0,0,50,50
mse,0.9387755102040816,0.0,0.0,0,0,50,50
mse,0.9591836734693877,0.0,0.0,0,0,50,50
mse,0.9795918367346939,0.0,0.0,0,0,50,50
mse,1.0,0.0,0.0,0,0,50,50
autoencoder,0.0,0.6,0.64,30,32,18,20
autoencoder,0.02040816326530612,0.24,0.3,12,15,35,38
autoencoder,0.04081632653061224,0.02,0.08,1,4,46,49
autoencoder,0.061224489795918366,0.0,0.0,0,0,50,50
autoencoder,0.08163265306122448,0.0,0.0,0,0,50,50
autoencoder,0.1020408163265306,0.0,0.0,0,0,50,50
autoencoder,0.12244897959183673,0.0,0.0,0,0,50,50
autoencoder,0.14285714285714285,0.0,0.0,0,0,50,50
