method,threshold,tpr,fpr,tp,fp,tn,fn
l_infinity,0.0,1.0,1.0,10,10,0,0
l_infinity,0.02040816326530612,1.0,1.0,10,10,0,0
l_infinity,0.04081632653061224,1.0,1.0,10,10,0,0
l_infinity,0.061224489795918366,1.0,1.0,10,10,0,0
l_infinity,0.08163265306122448,1.0,0.4,10,4,6,0
l_infinity,0.1020408163265306,1.0,0.0,10,0,10,0
l_infinity,0.12244897959183673,1.0,0.0,10,0,10,0
l_infinity,0.14285714285714285,1.0,0.0,10,0,10,0
l_infinity,0.16326530612244897,1.0,0.0,10,0,10,0
l_infinity,0.18367346938775508,1.0,0.0,10,0,10,0
l_infinity,0.2040816326530612,1.0,0.0,10,0,10,0
l_infinity,0.22448979591836732,1.0,0.0,10,0,10,0
l_infinity,0.24489795918367346,1.0,0.0,10,0,10,0
l_infinity,0.26530612244897955,1.0,0.0,10,0,10,0
l_infinity,0.2857142857142857,1.0,0.0,10,0,10,0
l_infinity,0.3061224489795918,1.0,0.0,10,0,10,0
l_infinity,0.32653061224489793,1.0,0.0,10,0,10,0
l_infinity,0.3469387755102041,1.0,0.0,10,0,10,0
l_infinity,0.36734693877551017,1.0,0.0,10,0,10,0
l_infinity,0.3877551020408163,1.0,0.0,10,0,10,0
l_infinity,0.4081632653061224,1.0,0.0,10,0,10,0
l_infinity,0.42857142857142855,1.0,0.0,10,0,10,0
l_infinity,0.44897959183673464,1.0,0.0,10,0,10,0
l_infinity,0.4693877551020408,1.0,0.0,10,0,10,0
l_infinity,0.4897959183673469,1.0,0.0,10,0,10,0
l_infinity,0.5102040816326531,1.0,0.0,10,0,10,0
l_infinity,0.5306122448979591,1.0,0.0,10,0,10,0
l_infinity,0.5510204081632653,1.0,0.0,10,0,10,0
l_infinity,0.5714285714285714,0.9,0.0,9,0,10,1
l_infinity,0.5918367346938775,0.8,0.0,8,0,10,2
l_infinity,0.6122448979591836,0.7,0.0,7,0,10,3
l_infinity,0.6326530612244897,0.5,0.0,5,0,10,5
l_infinity,0.6530612244897959,0.4,0.0,4,0,10,6
l_infinity,0.673469387755102,0.4,0.0,4,0,10,6
l_infinity,0.6938775510204082,0.4,0.0,4,0,10,6
l_infinity,0.7142857142857142,0.4,0.0,4,0,10,6
l_infinity,0.7346938775510203,0.4,0.0,4,0,10,6
l_infinity,0.7551020408163265,0.4,0.0,4,0,10,6
l_infinity,0.7755102040816326,0.3,0.0,3,0,10,7
l_infinity,0.7959183673469387,0.3,0.0,3,0,10,7
l_infinity,0.8163265306122448,0.3,0.0,3,0,10,7
l_infinity,0.836734693877551,0.3,0.0,3,0,10,7
l_infinity,0.8571428571428571,0.3,0.0,3,0,10,7
l_infinity,0.8775510204081632,0.1,0.0,1,0,10,9
l_infinity,0.8979591836734693,0.1,0.0,1,0,10,9
l_infinity,0.9183673469387754,0.1,0.0,1,0,10,9
l_infinity,0.9387755102040816,0.1,0.0,1,0,10,9
l_infinity,0.9591836734693877,0.0,0.0,0,0,10,10
l_infinity,0.9795918367346939,0.0,0.0,0,0,10,10
l_infinity,1.0,0.0,0.0,0,0,10,10
mse,0.0,1.0,1.0,10,10,0,0
mse,0.02040816326530612,0.0,0.0,0,0,10,10
mse,0.04081632653061224,0.0,0.0,0,0,10,10
mse,0.061224489795918366,0.0,0.0,0,0,10,10
mse,0.08163265306122448,0.0,0.0,0,0,10,10
mse,0.1020408163265306,0.0,0.0,0,0,10,10
mse,0.12244897959183673,0.0,0.0,0,0,10,10
mse,0.14285714285714285,0.0,0.0,0,0,10,10
mse,0.16326530612244897,0.0,0.0,0,0,10,10
mse,0.18367346938775508,0.0,0.0,0,0,10,10
mse,0.2040816326530612,0.0,0.0,0,0,10,10
mse,0.22448979591836732,0.0,0.0,0,0,10,10
mse,0.24489795918367346,0.0,0.0,0,0,10,10
mse,0.26530612244897955,0.0,0.0,0,0,10,10
mse,0.2857142857142857,0.0,0.0,0,0,10,10
mse,0.3061224489795918,0.0,0.0,0,0,10,10
mse,0.32653061224489793,0.0,0.0,0,0,10,10
mse,0.3469387755102041,0.0,0.0,0,0,10,10
mse,0.36734693877551017,0.0,0.0,0,0,10,10
mse,0.3877551020408163,0.0,0.0,0,0,10,10
mse,0.4081632653061224,0.0,0.0,0,0,10,10
mse,0.42857142857142855,0.0,0.0,0,0,10,10
mse,0.44897959183673464,0.0,0.0,0,0,10,10
mse,0.4693877551020408,0.0,0.0,0,0,10,10
mse,0.4897959183673469,0.0,0.0,0,0,10,10
mse,0.5102040816326531,0.0,0.0,0,0,10,10
mse,0.5306122448979591,0.0,0.0,0,0,10,10
mse,0.5510204081632653,0.0,0.0,0,0,10,10
